adm0_name,adm1_name,mkt_name,cm_name,cur_name,pt_name,um_name,mp_month,mp_year,mp_price,mp_commoditysource
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,9,2011,7.22,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,10,2011,7.0,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,11,2011,7.0,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,12,2011,7.0,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,1,2012,7.0,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,2,2012,7.0,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,3,2012,7.0,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,4,2012,7.0,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,5,2012,7.04,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,6,2012,7.04,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,7,2012,7.04,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,8,2012,6.88,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,9,2012,6.88,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,10,2012,6.88,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,11,2012,6.93,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,12,2012,7.09,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,6,2013,8.04,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,7,2013,8.91,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,8,2013,8.79,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,9,2013,8.77,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,10,2013,8.92,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,11,2013,8.92,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,1,2014,8.9,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,2,2014,8.87,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,3,2014,8.83,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,4,2014,8.9,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,5,2014,8.87,INE
